Name,Abbreviation,Credit Value Class,Gameplay Type,$ Value,Credit Value,Repair Cost,Special Effect,Found at
-,,-,Unknown,0,0,,,
Acid,ACI,Rare,Liquid,2875,0.5,,Corrosive,BT3
Amazonite,AMZ,Rare,Mineral,2300,0.5,,,"MM3, TW2, TW3"
Battery (Salvage),,Undesirable,Salvage,250,0.05,50,,Wrecks
Bauxite,BAU,Common,Mineral,750,0.2,,,BT3
Bauxite Dust,,Common,Manufactured,750,0.2,,,Manufactured
Biomass,BIO,Undesirable,Plant Matter,125,0.05,,,All
Brine,BRI,Rare,Liquid,2050,0.5,,,BT1
Calcite,CAL,Uncommon,Mineral,1050,0.35,,,"CC2, CC3, TW3, BT4"
Carbon,CAR,Undesirable,Mineral,250,0.05,,,"Carbonites, CC1, CC2"
Carbon Fiber,,Uncommon,Manufactured,1050,0.35,,,Manufactured
Chromite,CHR,Uncommon,Mineral,1300,0.35,,,TW1
Citrine (Cracked),CIT,Uncommon,Remains,1125,0.35,,Fragile,"TW4, BT3"
Citrine (Flawless),CIT,Rare,Gem,22500,0.5,,Fragile,"TW4, BT3"
Cobalt,COB,Uncommon,Mineral,1075,0.35,,,"MM1, TW3"
Copper,COP,Uncommon,Mineral,1350,0.35,,,"CC2, MM4, BT2"
Copper Wire,,Uncommon,Manufactured,1050,0.35,,,Manufactured
Diamond,DIA,Uncommon,Mineral,1900,0.35,,,BT4
Diesel,,Rare,Manufactured,9500,0.5,,,Manufactured
Fiber Optic Strands,,Rare,Manufactured,2500,0.5,,,Manufactured
Forcefield (Salvage),,Undesirable,Salvage,250,0.05,50,,Wrecks
Galena,GAL,Uncommon,Mineral,1625,0.35,,,"MM1, TW4"
Gem Dust,,Uncommon,Manufactured,1350,0.35,,,Manufactured
Glass Sheet,,Uncommon,Manufactured,1500,0.35,,,Manufactured
Gold,GOL,Rare,Mineral,3000,0.5,,,"TW4, BT2"
Graphite,,Uncommon,Manufactured,1075,0.35,,,Manufactured
Gypsum,GYP,Common,Mineral,925,0.2,,,CC1
Hydrogel,,Rare,Manufactured,7000,0.5,,,Manufactured
Iron,IRN,Undesirable,Mineral,450,0.05,,,All
Lodestone,LOD,Uncommon,Mineral,1125,0.35,,,BT1
Magnesite,MAG,Uncommon,Mineral,1175,0.35,,,TW1
Magnetic Dust,,Uncommon,Manufactured,1300,0.35,,,Manufactured
Mercury,MER,Rare,Liquid,4100,0.5,,,BT2
Mining Turret (Salvage),,Undesirable,Salvage,250,0.05,50,,Wrecks
Nickel,NIC,Common,Mineral,600,0.2,,,"CC1, CC4, MM2, TW2"
Nitrogen,NIT,Rare,Liquid,2750,0.5,,,TW2
Obsidian,OBS,Common,Mineral,875,0.2,,,BT3
Opal (Cracked),OPA,Uncommon,Remains,1350,0.35,,Fragile,"TW2, BT1"
Opal (Flawless),OPA,Rare,Gem,27000,0.5,,Fragile,"TW2, BT1"
Oxygen,,Gas,Unknown,,1,,,Upcoming
Petroleum,PET,Rare,Liquid,5350,0.5,,Flammable,BT4
Plastics,,Uncommon,Manufactured,1050,0.35,,,Manufactured
Platinum,PLA,Uncommon,Mineral,1750,0.35,,,"MM1, TW4, BT1"
Plutonium,,Rare,Mineral,3750,0.5,,,Upcoming
Polymer,,Common,Manufactured,600,0.2,,,Manufactured
Purified Water,,Rare,Manufactured,3906.25,0.5,,,Manufactured
Resin,,Common,Manufactured,600,0.2,,,Manufactured
Ruby (Cracked),RUB,Uncommon,Remains,1270,0.35,,Fragile,TW3
Ruby (Flawless),RUB,Rare,Gem,25400,0.5,,Fragile,TW3
Rutile,RUT,Uncommon,Mineral,1650,0.35,,,CC3
Salt,SAL,Common,Mineral,850,0.2,,,"MM3, TW3, BT1"
Sand,,Undesirable,Manufactured,500,0.05,,,Manufactured
Sapphire (Cracked),SAP,Uncommon,Remains,1660,0.35,,Fragile,"MM2, MM3"
Sapphire (Flawless),SAP,Rare,Gem,33200,0.5,,Fragile,"MM2, MM3"
Silica,SIL,Undesirable,Surface Rocks Only,450,0.05,,,Silicates
Silver,SLV,Rare,Mineral,2050,0.5,,,"CC4, MM4, TW1, BT2"
Steel Rod,,Uncommon,Manufactured,1050,0.35,,,Manufactured
Topaz (Cracked),TOP,Uncommon,Remains,1550,0.35,,Fragile,TW1
Topaz (Flawless),TOP,Rare,Gem,31000,0.5,,Fragile,TW1
Water,WAT,Rare,Liquid,2500,0.5,,,CC4
Workerbot (Salvage),,Undesirable,Salvage,250,0.05,50,,Wrecks
,,-,,,0,,,
